DIVISION,ST,AGEP,CIT,MAR,SCHL,WAGP,NATIVITY
3,39,1,1,5,1.0,0,1
3,26,35,1,5,16.0,0,1
7,48,34,4,2,6.0,2,2
2,34,35,1,1,21.0,21,1
5,51,34,1,1,19.0,0,1
6,28,33,1,5,16.0,0,1
2,36,25,1,5,11.0,0,1
2,34,19,1,1,22.0,1,1
5,37,13,1,5,19.0,1,1
9,6,31,4,1,17.0,15,2
6,1,26,1,1,18.0,8,1
7,48,10,1,5,16.0,1,1
5,12,35,1,1,23.0,0,1
9,41,0,1,5,0.0,0,1
7,48,4,1,5,6.0,0,1
9,6,6,1,5,9.0,0,1
7,48,36,1,1,21.0,0,1
4,31,7,1,5,11.0,0,1
3,26,1,1,5,0.0,0,1
9,6,28,5,1,18.0,0,2
3,18,29,1,1,16.0,5,1
2,36,2,1,5,2.0,0,1
9,6,31,4,1,19.0,0,2
4,29,2,1,5,2.0,0,1
3,26,19,1,1,24.0,0,1
5,13,29,4,1,16.0,3,2
2,42,31,1,1,21.0,0,1
4,31,20,1,5,16.0,0,1
3,39,20,1,3,19.0,2,1
9,6,20,1,4,22.0,3,1
6,47,14,1,5,21.0,2,1
9,6,48,1,2,22.0,0,1
3,39,30,1,1,16.0,0,1
7,5,23,1,1,16.0,1,1
5,13,14,1,3,20.0,1,1
0,72,22,2,3,22.0,1,1
3,55,3,1,5,4.0,0,1
8,56,40,1,1,23.0,0,1
3,18,29,1,1,11.0,0,1
5,12,31,1,2,21.0,6,1
9,53,8,1,5,14.0,0,1
2,36,4,1,5,7.0,0,1
3,26,18,1,1,21.0,5,1
3,39,38,1,1,19.0,0,1
4,29,11,1,5,18.0,1,1
2,36,0,1,5,0.0,0,1
9,6,42,4,1,21.0,0,2
2,42,37,1,2,16.0,0,1
7,48,2,1,5,2.0,0,1
9,15,16,1,1,21.0,0,1
7,22,30,1,5,15.0,3,1
2,36,19,1,5,21.0,1,1
3,17,32,1,1,16.0,0,1
4,20,30,1,1,16.0,0,1
5,37,10,1,5,17.0,1,1
5,12,26,1,3,20.0,0,1
5,37,36,1,1,22.0,0,1
8,32,17,5,1,1.0,0,2
2,36,19,1,1,24.0,5,1
5,37,32,1,1,20.0,0,1
9,2,2,1,5,1.0,0,1
8,49,9,1,5,20.0,0,1
5,24,14,5,5,16.0,2,2
9,15,39,1,3,23.0,0,1
5,37,37,1,1,20.0,0,1
9,6,15,5,5,17.0,3,2
5,13,24,1,1,21.0,5,1
9,53,8,1,5,13.0,0,1
9,6,20,1,5,23.0,21,1
5,54,24,1,1,16.0,1,1
7,48,30,1,1,13.0,0,1
7,22,10,1,5,19.0,0,1
5,37,9,1,5,19.0,0,1
1,25,30,1,3,18.0,1,1
7,48,17,1,5,19.0,3,1
9,6,10,3,5,16.0,0,1
7,48,0,1,5,0.0,0,1
7,40,19,1,5,17.0,2,1
3,39,26,1,1,18.0,2,1
5,12,34,1,1,21.0,0,1
7,5,12,1,5,22.0,1,1
9,6,8,1,5,13.0,0,1
4,29,37,1,1,16.0,0,1
3,39,12,1,5,21.0,1,1
7,48,7,1,5,13.0,0,1
5,24,28,4,1,24.0,3,2
